state,baseline,path,edge_index,u,v,zone_u,zone_v,delay_ms,bandwidth_mbps,qos_weight,cumulative_delay_ms,cumulative_qos_weight,bottleneck_bandwidth_so_far,norm_bw,norm_delay,BN_next,MOD_next,malicious_penalty,delta_mspl,nsp_delta,reward
BW_CONGESTION,Seg-Routing,14->12->0->7,0,14,12,IT,HR,32.325516,10.000000,132.325516,32.325516,132.325516,10.000000,0.010000,0.323255,0.000000,1,0.500000,1.000000,0.000000,-0.346977
BW_CONGESTION,Seg-Routing,14->12->0->7,1,12,0,HR,Core,33.166753,500.000000,35.166753,65.492269,167.492269,10.000000,0.500000,0.331668,0.000000,3,1.500000,-1.000000,0.000000,-0.526773
BW_CONGESTION,Seg-Routing,14->12->0->7,2,0,7,Core,FIN,39.146782,300.000000,42.480116,104.639051,209.972384,10.000000,0.300000,0.391468,0.000000,1,0.500000,-1.000000,0.000000,-0.360297
BW_CONGESTION,ZT-Routing,14->12->0->7,0,14,12,IT,HR,32.325516,10.000000,132.325516,32.325516,132.325516,10.000000,0.010000,0.323255,0.000000,1,0.500000,1.000000,0.000000,-0.346977
BW_CONGESTION,ZT-Routing,14->12->0->7,1,12,0,HR,Core,33.166753,500.000000,35.166753,65.492269,167.492269,10.000000,0.500000,0.331668,0.000000,3,1.500000,-1.000000,0.000000,-0.526773
BW_CONGESTION,ZT-Routing,14->12->0->7,2,0,7,Core,FIN,39.146782,300.000000,42.480116,104.639051,209.972384,10.000000,0.300000,0.391468,0.000000,1,0.500000,-1.000000,0.000000,-0.360297
BW_CONGESTION,ZT-SR-VI,14->12->0->7,0,14,12,IT,HR,32.325516,10.000000,132.325516,32.325516,132.325516,10.000000,0.010000,0.323255,0.000000,1,0.500000,1.000000,0.000000,-0.346977
BW_CONGESTION,ZT-SR-VI,14->12->0->7,1,12,0,HR,Core,33.166753,500.000000,35.166753,65.492269,167.492269,10.000000,0.500000,0.331668,0.000000,3,1.500000,-1.000000,0.000000,-0.526773
BW_CONGESTION,ZT-SR-VI,14->12->0->7,2,0,7,Core,FIN,39.146782,300.000000,42.480116,104.639051,209.972384,10.000000,0.300000,0.391468,0.000000,1,0.500000,-1.000000,0.000000,-0.360297
TRUST_DEGRADED,SP-Routing,14->12->0->7,0,14,12,IT,HR,32.325516,200.000000,37.325516,32.325516,37.325516,200.000000,0.200000,0.323255,0.000000,1,0.500000,1.000000,0.000000,-0.156977
TRUST_DEGRADED,SP-Routing,14->12->0->7,1,12,0,HR,Core,33.166753,500.000000,35.166753,65.492269,72.492269,200.000000,0.500000,0.331668,0.000000,3,1.500000,-1.000000,0.000000,-0.526773
TRUST_DEGRADED,SP-Routing,14->12->0->7,2,0,7,Core,FIN,39.146782,300.000000,42.480116,104.639051,114.972384,200.000000,0.300000,0.391468,0.000000,1,0.500000,-1.000000,0.000000,-0.360297
TRUST_DEGRADED,QoS-Routing,14->12->0->7,0,14,12,IT,HR,32.325516,200.000000,37.325516,32.325516,37.325516,200.000000,0.200000,0.323255,0.000000,1,0.500000,1.000000,0.000000,-0.156977
TRUST_DEGRADED,QoS-Routing,14->12->0->7,1,12,0,HR,Core,33.166753,500.000000,35.166753,65.492269,72.492269,200.000000,0.500000,0.331668,0.000000,3,1.500000,-1.000000,0.000000,-0.526773
TRUST_DEGRADED,QoS-Routing,14->12->0->7,2,0,7,Core,FIN,39.146782,300.000000,42.480116,104.639051,114.972384,200.000000,0.300000,0.391468,0.000000,1,0.500000,-1.000000,0.000000,-0.360297
TRUST_DEGRADED,Seg-Routing,14->12->0->7,0,14,12,IT,HR,32.325516,200.000000,37.325516,32.325516,37.325516,200.000000,0.200000,0.323255,0.000000,1,0.500000,1.000000,0.000000,-0.156977
TRUST_DEGRADED,Seg-Routing,14->12->0->7,1,12,0,HR,Core,33.166753,500.000000,35.166753,65.492269,72.492269,200.000000,0.500000,0.331668,0.000000,3,1.500000,-1.000000,0.000000,-0.526773
TRUST_DEGRADED,Seg-Routing,14->12->0->7,2,0,7,Core,FIN,39.146782,300.000000,42.480116,104.639051,114.972384,200.000000,0.300000,0.391468,0.000000,1,0.500000,-1.000000,0.000000,-0.360297
TRUST_DEGRADED,ZT-Routing,14->8->6->5->2->0->7,0,14,8,IT,FIN,9.892895,150.000000,16.559562,9.892895,16.559562,150.000000,0.150000,0.098929,0.000000,1,0.500000,-1.000000,0.000000,-0.304679
TRUST_DEGRADED,ZT-Routing,14->8->6->5->2->0->7,1,8,6,FIN,DMZ,17.966090,500.000000,19.966090,27.858985,36.525651,150.000000,0.500000,0.179661,0.000000,1,0.500000,-1.000000,0.000000,-0.281171
TRUST_DEGRADED,ZT-Routing,14->8->6->5->2->0->7,2,6,5,DMZ,DMZ,10.400132,150.000000,17.066799,38.259117,53.592450,150.000000,0.150000,0.104001,0.000000,0,0.000000,-1.000000,0.000000,-0.206200
TRUST_DEGRADED,ZT-Routing,14->8->6->5->2->0->7,3,5,2,DMZ,Core,36.259239,150.000000,42.925906,74.518356,96.518356,150.000000,0.150000,0.362592,0.000000,1,0.500000,1.000000,0.000000,-0.183778
TRUST_DEGRADED,ZT-Routing,14->8->6->5->2->0->7,4,2,0,Core,Core,12.953355,50.000000,32.953355,87.471711,129.471711,50.000000,0.050000,0.129534,0.000000,3,1.500000,-1.000000,0.000000,-0.588860
TRUST_DEGRADED,ZT-Routing,14->8->6->5->2->0->7,5,0,7,Core,FIN,39.146782,300.000000,42.480116,126.618494,171.951827,50.000000,0.300000,0.391468,0.000000,1,0.500000,-1.000000,0.000000,-0.360297
DELAY_SPIKE,SP-Routing,14->8->6->5->2->0->7,0,14,8,IT,FIN,9.892895,150.000000,16.559562,9.892895,16.559562,150.000000,0.150000,0.098929,0.000000,1,0.500000,-1.000000,0.000000,-0.304679
DELAY_SPIKE,SP-Routing,14->8->6->5->2->0->7,1,8,6,FIN,DMZ,17.966090,500.000000,19.966090,27.858985,36.525651,150.000000,0.500000,0.179661,0.000000,1,0.500000,-1.000000,0.000000,-0.281171
DELAY_SPIKE,SP-Routing,14->8->6->5->2->0->7,2,6,5,DMZ,DMZ,10.400132,150.000000,17.066799,38.259117,53.592450,150.000000,0.150000,0.104001,0.000000,0,0.000000,-1.000000,0.000000,-0.206200
DELAY_SPIKE,SP-Routing,14->8->6->5->2->0->7,3,5,2,DMZ,Core,36.259239,150.000000,42.925906,74.518356,96.518356,150.000000,0.150000,0.362592,0.000000,1,0.500000,1.000000,0.000000,-0.183778
DELAY_SPIKE,SP-Routing,14->8->6->5->2->0->7,4,2,0,Core,Core,12.953355,50.000000,32.953355,87.471711,129.471711,50.000000,0.050000,0.129534,0.000000,3,1.500000,-1.000000,0.000000,-0.588860
DELAY_SPIKE,SP-Routing,14->8->6->5->2->0->7,5,0,7,Core,FIN,39.146782,300.000000,42.480116,126.618494,171.951827,50.000000,0.300000,0.391468,0.000000,1,0.500000,-1.000000,0.000000,-0.360297
DELAY_SPIKE,QoS-Routing,14->8->6->5->2->0->7,0,14,8,IT,FIN,9.892895,150.000000,16.559562,9.892895,16.559562,150.000000,0.150000,0.098929,0.000000,1,0.500000,-1.000000,0.000000,-0.304679
DELAY_SPIKE,QoS-Routing,14->8->6->5->2->0->7,1,8,6,FIN,DMZ,17.966090,500.000000,19.966090,27.858985,36.525651,150.000000,0.500000,0.179661,0.000000,1,0.500000,-1.000000,0.000000,-0.281171
DELAY_SPIKE,QoS-Routing,14->8->6->5->2->0->7,2,6,5,DMZ,DMZ,10.400132,150.000000,17.066799,38.259117,53.592450,150.000000,0.150000,0.104001,0.000000,0,0.000000,-1.000000,0.000000,-0.206200
DELAY_SPIKE,QoS-Routing,14->8->6->5->2->0->7,3,5,2,DMZ,Core,36.259239,150.000000,42.925906,74.518356,96.518356,150.000000,0.150000,0.362592,0.000000,1,0.500000,1.000000,0.000000,-0.183778
DELAY_SPIKE,QoS-Routing,14->8->6->5->2->0->7,4,2,0,Core,Core,12.953355,50.000000,32.953355,87.471711,129.471711,50.000000,0.050000,0.129534,0.000000,3,1.500000,-1.000000,0.000000,-0.588860
DELAY_SPIKE,QoS-Routing,14->8->6->5->2->0->7,5,0,7,Core,FIN,39.146782,300.000000,42.480116,126.618494,171.951827,50.000000,0.300000,0.391468,0.000000,1,0.500000,-1.000000,0.000000,-0.360297
DELAY_SPIKE,Seg-Routing,14->12->0->7,0,14,12,IT,HR,200.000000,200.000000,205.000000,200.000000,205.000000,200.000000,0.200000,2.000000,0.000000,1,0.500000,1.000000,0.000000,-0.660000
DELAY_SPIKE,Seg-Routing,14->12->0->7,1,12,0,HR,Core,33.166753,500.000000,35.166753,233.166753,240.166753,200.000000,0.500000,0.331668,0.000000,3,1.500000,-1.000000,0.000000,-0.526773
DELAY_SPIKE,Seg-Routing,14->12->0->7,2,0,7,Core,FIN,39.146782,300.000000,42.480116,272.313535,282.646868,200.000000,0.300000,0.391468,0.000000,1,0.500000,-1.000000,0.000000,-0.360297
DELAY_SPIKE,ZT-Routing,14->8->6->5->2->0->7,0,14,8,IT,FIN,9.892895,150.000000,16.559562,9.892895,16.559562,150.000000,0.150000,0.098929,0.000000,1,0.500000,-1.000000,0.000000,-0.304679
DELAY_SPIKE,ZT-Routing,14->8->6->5->2->0->7,1,8,6,FIN,DMZ,17.966090,500.000000,19.966090,27.858985,36.525651,150.000000,0.500000,0.179661,0.000000,1,0.500000,-1.000000,0.000000,-0.281171
DELAY_SPIKE,ZT-Routing,14->8->6->5->2->0->7,2,6,5,DMZ,DMZ,10.400132,150.000000,17.066799,38.259117,53.592450,150.000000,0.150000,0.104001,0.000000,0,0.000000,-1.000000,0.000000,-0.206200
DELAY_SPIKE,ZT-Routing,14->8->6->5->2->0->7,3,5,2,DMZ,Core,36.259239,150.000000,42.925906,74.518356,96.518356,150.000000,0.150000,0.362592,0.000000,1,0.500000,1.000000,0.000000,-0.183778
DELAY_SPIKE,ZT-Routing,14->8->6->5->2->0->7,4,2,0,Core,Core,12.953355,50.000000,32.953355,87.471711,129.471711,50.000000,0.050000,0.129534,0.000000,3,1.500000,-1.000000,0.000000,-0.588860
DELAY_SPIKE,ZT-Routing,14->8->6->5->2->0->7,5,0,7,Core,FIN,39.146782,300.000000,42.480116,126.618494,171.951827,50.000000,0.300000,0.391468,0.000000,1,0.500000,-1.000000,0.000000,-0.360297
DELAY_SPIKE,ZT-SR-VI,14->12->0->7,0,14,12,IT,HR,200.000000,200.000000,205.000000,200.000000,205.000000,200.000000,0.200000,2.000000,0.000000,1,0.500000,1.000000,0.000000,-0.660000
DELAY_SPIKE,ZT-SR-VI,14->12->0->7,1,12,0,HR,Core,33.166753,500.000000,35.166753,233.166753,240.166753,200.000000,0.500000,0.331668,0.000000,3,1.500000,-1.000000,0.000000,-0.526773
DELAY_SPIKE,ZT-SR-VI,14->12->0->7,2,0,7,Core,FIN,39.146782,300.000000,42.480116,272.313535,282.646868,200.000000,0.300000,0.391468,0.000000,1,0.500000,-1.000000,0.000000,-0.360297
STRUCTURE_MITIGATED,SP-Routing,14->8->6->5->2->0->7,0,14,8,IT,FIN,9.892895,150.000000,16.559562,9.892895,16.559562,150.000000,0.150000,0.098929,0.000000,1,0.500000,-1.000000,0.000000,-0.304679
STRUCTURE_MITIGATED,SP-Routing,14->8->6->5->2->0->7,1,8,6,FIN,DMZ,17.966090,500.000000,19.966090,27.858985,36.525651,150.000000,0.500000,0.179661,0.000000,1,0.500000,-1.000000,0.000000,-0.281171
STRUCTURE_MITIGATED,SP-Routing,14->8->6->5->2->0->7,2,6,5,DMZ,DMZ,10.400132,150.000000,17.066799,38.259117,53.592450,150.000000,0.150000,0.104001,0.000000,0,0.000000,-1.000000,0.000000,-0.206200
STRUCTURE_MITIGATED,SP-Routing,14->8->6->5->2->0->7,3,5,2,DMZ,Core,36.259239,150.000000,42.925906,74.518356,96.518356,150.000000,0.150000,0.362592,0.000000,1,0.500000,1.000000,0.000000,-0.183778
STRUCTURE_MITIGATED,SP-Routing,14->8->6->5->2->0->7,4,2,0,Core,Core,12.953355,50.000000,32.953355,87.471711,129.471711,50.000000,0.050000,0.129534,0.000000,3,1.500000,-1.000000,0.000000,-0.588860
STRUCTURE_MITIGATED,SP-Routing,14->8->6->5->2->0->7,5,0,7,Core,FIN,39.146782,300.000000,42.480116,126.618494,171.951827,50.000000,0.300000,0.391468,0.000000,1,0.500000,-1.000000,0.000000,-0.360297
STRUCTURE_MITIGATED,QoS-Routing,14->8->6->5->2->0->7,0,14,8,IT,FIN,9.892895,150.000000,16.559562,9.892895,16.559562,150.000000,0.150000,0.098929,0.000000,1,0.500000,-1.000000,0.000000,-0.304679
STRUCTURE_MITIGATED,QoS-Routing,14->8->6->5->2->0->7,1,8,6,FIN,DMZ,17.966090,500.000000,19.966090,27.858985,36.525651,150.000000,0.500000,0.179661,0.000000,1,0.500000,-1.000000,0.000000,-0.281171
STRUCTURE_MITIGATED,QoS-Routing,14->8->6->5->2->0->7,2,6,5,DMZ,DMZ,10.400132,150.000000,17.066799,38.259117,53.592450,150.000000,0.150000,0.104001,0.000000,0,0.000000,-1.000000,0.000000,-0.206200
STRUCTURE_MITIGATED,QoS-Routing,14->8->6->5->2->0->7,3,5,2,DMZ,Core,36.259239,150.000000,42.925906,74.518356,96.518356,150.000000,0.150000,0.362592,0.000000,1,0.500000,1.000000,0.000000,-0.183778
STRUCTURE_MITIGATED,QoS-Routing,14->8->6->5->2->0->7,4,2,0,Core,Core,12.953355,50.000000,32.953355,87.471711,129.471711,50.000000,0.050000,0.129534,0.000000,3,1.500000,-1.000000,0.000000,-0.588860
STRUCTURE_MITIGATED,QoS-Routing,14->8->6->5->2->0->7,5,0,7,Core,FIN,39.146782,300.000000,42.480116,126.618494,171.951827,50.000000,0.300000,0.391468,0.000000,1,0.500000,-1.000000,0.000000,-0.360297
STRUCTURE_MITIGATED,ZT-Routing,14->8->6->5->2->0->7,0,14,8,IT,FIN,9.892895,150.000000,16.559562,9.892895,16.559562,150.000000,0.150000,0.098929,0.000000,1,0.500000,-1.000000,0.000000,-0.304679
STRUCTURE_MITIGATED,ZT-Routing,14->8->6->5->2->0->7,1,8,6,FIN,DMZ,17.966090,500.000000,19.966090,27.858985,36.525651,150.000000,0.500000,0.179661,0.000000,1,0.500000,-1.000000,0.000000,-0.281171
STRUCTURE_MITIGATED,ZT-Routing,14->8->6->5->2->0->7,2,6,5,DMZ,DMZ,10.400132,150.000000,17.066799,38.259117,53.592450,150.000000,0.150000,0.104001,0.000000,0,0.000000,-1.000000,0.000000,-0.206200
STRUCTURE_MITIGATED,ZT-Routing,14->8->6->5->2->0->7,3,5,2,DMZ,Core,36.259239,150.000000,42.925906,74.518356,96.518356,150.000000,0.150000,0.362592,0.000000,1,0.500000,1.000000,0.000000,-0.183778
STRUCTURE_MITIGATED,ZT-Routing,14->8->6->5->2->0->7,4,2,0,Core,Core,12.953355,50.000000,32.953355,87.471711,129.471711,50.000000,0.050000,0.129534,0.000000,3,1.500000,-1.000000,0.000000,-0.588860
STRUCTURE_MITIGATED,ZT-Routing,14->8->6->5->2->0->7,5,0,7,Core,FIN,39.146782,300.000000,42.480116,126.618494,171.951827,50.000000,0.300000,0.391468,0.000000,1,0.500000,-1.000000,0.000000,-0.360297
